FIELD_TYPE_ID,FIELD_TYPE_DESC,USED_FLAG,del_ind,FIELD_NAME
THEME_COLOUR,Theme Colour,0,0,sys_attr_type
I,Test,0,0,address_type
MSG015,Error,0,0,messages_id
MSG187,Error,0,0,messages_id
MSG176,Error,0,0,messages_id
MSG034,Success,0,0,messages_id
MSG174,Error,0,0,messages_id
MSG041,Error,0,0,messages_id
MSG121,Information,0,0,messages_id
MSG086,Error,0,0,messages_id
JMSG300,Error,0,0,messages_id
JMSG010,Success,0,0,messages_id
MSG055,Error,0,0,messages_id
DOC01,Shopping Cart,1,0,document_type
MSG117,Error,0,0,messages_id
MSG065,Error,0,0,messages_id
MSG054,Error,0,0,messages_id
DEL_ADDR,Delivery Address,1,0,attribute_id
DOC02,Purchase Order,1,0,document_type
MSG032,Error,0,0,messages_id
MSG038,Error,0,0,messages_id
MSG011,Error,0,0,messages_id
MSG075,Error,0,0,messages_id
MSG191,Error,0,0,messages_id
AUTH_GROUP_03,Approvals,0,0,auth_obj_grp
MSG057,Error,0,0,messages_id
AUTH_0009,Purchasing,0,0,auth_obj_id
Activate,Activate,0,0,purchase_ctrl_flag
Deactivate,Deactivate,0,0,purchase_ctrl_flag
MSG071,Error,0,0,messages_id
FORM,Form,1,0,auth_level
MSG115,Error,0,0,messages_id
MSG134,Error,0,0,messages_id
JMSG013,Success,0,0,messages_id
US_ROLE,User Role,1,0,attribute_id
JMSG049,Error,0,0,messages_id
MSG123,Error,0,0,messages_id
MSG039,Error,0,0,messages_id
JMSG041,Error,0,0,messages_id
MSG105,Error,0,0,messages_id
Node type,Test,1,0,org_node_types
MSG031,Error,0,0,messages_id
MSG140,Error,0,0,messages_id
AUTH_GROUP_06,Admin,0,0,auth_obj_grp
AUTH_GROUP_07,Content Management,0,0,auth_obj_grp
AUTH_0008,Form Builder,0,0,auth_obj_id
MSG060,Error,0,0,messages_id
CCODE,Company Code,1,0,org_node_types
MSG009,Error,0,0,messages_id
JMSG024,Error,0,0,messages_id
MSG070,Error,0,0,messages_id
SCHEMADEMO,SCHEMADEMO,1,0,workflow_schema
MSG033,Error,0,0,messages_id
MSG148,Error,0,0,messages_id
Medium,Medium Priority,0,0,Priority
MSG076,Error,0,0,messages_id
DEMO,DEMO,0,0,document_type
JMSG050,Success,0,0,messages_id
MSG120,Success,0,0,messages_id
JMSG027,Error,0,0,messages_id
MSG022,Error,0,0,messages_id
MSG103,Error,0,0,messages_id
JMSG003,Error,0,0,messages_id
JMSG006,Error,0,0,messages_id
ATTACHMENT_EXTENSION,Attachment Extension,0,0,sys_attr_type
7,Purchase Requisition,1,0,split_type
MSG042,Error,0,0,messages_id
High,High Priority,0,0,Priority
MSG112,Success,0,0,messages_id
NODE,Node,1,0,org_node_types
AUTH_0021,User Admin,0,0,auth_obj_id
MSG001,Error,0,0,messages_id
Support,Support,0,0,user_type
JMSG035,Error,0,0,messages_id
MSG013,Error,0,0,messages_id
JMSG034,Error,0,0,messages_id
AUTH_0012,Appl Settings,0,0,auth_obj_id
AUTH_GROUP_01,Shopping,0,0,auth_obj_grp
JMSG031,Error,0,0,messages_id
JMSG033,Error,0,0,messages_id
MSG059,Error,0,0,messages_id
SCHEMA_TEST,SCHEMA_TEST,1,0,workflow_schema
JMSG051,Error,0,0,messages_id
JMSG039,Success,0,0,messages_id
SC_TRANS_TYPE,Sc Transaction Type,1,0,attribute_id
MSG128,Error,0,0,messages_id
MSG158,Error,0,0,messages_id
ACC_CAT,Account Assignment Category,1,0,attribute_id
MSG066,Error,0,0,messages_id
MSG184,Success,0,0,messages_id
MSG165,Error,0,0,messages_id
MSG138,Error,0,0,messages_id
4,Purchasing Group,1,0,split_type
MSG082,Error,0,0,messages_id
MSG155,Success,0,0,messages_id
MSG090,Error,0,0,messages_id
DEF_DOC_SEARCH,Default Document Search,1,0,attribute_id
Test,Test Approval Type,0,0,approval_type
JMSG017,Error,0,0,messages_id
JMSG008,Error,0,0,messages_id
Demo_role,Test Role,1,0,roles
MSG088,Error,0,0,messages_id
AUTH_0017,Catalog,0,0,auth_obj_id
MSG118,Error,0,0,messages_id
MSG107,Error,0,0,messages_id
SUCCESS,Success,0,0,messages_type
JMSG026,Error,0,0,messages_id
MSG096,Error,0,0,messages_id
CALENDAR_ID,Calendar Description,1,0,attribute_id
Activate,Activate,0,0,activate
JMSG002,Error,0,0,messages_id
JMSG009,Error,0,0,messages_id
