MESSAGES_ID,MESSAGES_TYPE,del_ind
JMSG043,ERROR,0
JMSG010,SUCCESS,0
MSG176,ERROR,0
JMSG025,ERROR,0
MSG175,ERROR,0
MSG201,ERROR,0
MSG200,ERROR,0
MSG202,SUCESS,0
MSG116,INFORMATION,0
MSG173,ERROR,0
JMSG029,ERROR,0
MSG067,ERROR,0
JMSG049,ERROR,0
JMSG009,ERROR,0
MSG146,ERROR,0
MSG077,INFORMATION,0
MSG103,ERROR,0
MSG134,ERROR,0
JMSG109,ERROR,0
MSG167,ERROR,0
MSG087,ERROR,0
MSG123,ERROR,0
MSG114,INFORMATION,0
MSG133,ERROR,0
MSG089,ERROR,0
JMSG039,SUCCESS,0
JMSG012,SUCCESS,0
JMSG042,WARNING,0
JMSG018,ERROR,0
MSG034,SUCCESS,0
MSG043,ERROR,0
MSG125,SUCCESS,0
JMSG001,ERROR,0
MSG131,SUCCESS,0
JMSG007,ERROR,0
MSG183,SUCCESS,0
JMSG050,SUCCESS,0
MSG178,SUCCESS,0
MSG135,ERROR,0
MSG127,SUCCESS,0
MSG186,ERROR,0
MSG168,ERROR,0
MSG007,ERROR,0
JMSG013,SUCCESS,0
MSG059,ERROR,0
MSG111,ERROR,0
MSG143,ERROR,0
MSG022,ERROR,0
MSG012,ERROR,0
MSG164,ERROR,0
MSG152,ERROR,0
MSG070,ERROR,0
MSG036,INFORMATION,0
MSG195,ERROR,0
MSG193,ERROR,0
MSG194,ERROR,0
MSG192,ERROR,0
MSG084,INFORMATION,0
MSG072,ERROR,0
MSG104,ERROR,0
MSG096,ERROR,0
JMSG110,ERROR,0
MSG018,SUCCESS,0
MSG179,SUCCESS,0
JMSG022,ERROR,0
MSG147,ERROR,0
JMSG006,ERROR,0
MSG011,ERROR,0
MSG099,ERROR,0
MSG160,ERROR,0
JMSG037,ERROR,0
MSG113,SUCCESS,0
MSG064,ERROR,0
MSG076,ERROR,0
JMSG034,ERROR,0
MSG066,ERROR,0
MSG172,ERROR,0
MSG161,ERROR,0
MSG027,ERROR,0
MSG094,ERROR,0
MSG056,ERROR,0
JMSG041,ERROR,0
MSG017,SUCCESS,0
MSG162,ERROR,0
MSG040,INFORMATION,0
MSG093,ERROR,0
MSG090,ERROR,0
MSG120,SUCCESS,0
MSG170,ERROR,0
MSG153,ERROR,0
MSG137,ERROR,0
MSG154,INFORMATION,0
