node_type,node_values,del_ind
CT_CTR,CCODE,0
RESP_PROD_CAT,CCODE,0
INT_ORD,CCODE,0
PO_TRANS_TYPE,CCODE,0
CALENDAR_ID,CCODE,0
INV_ADDR,CCODE,0
SOBO,CCODE,0
GL_ACC,CCODE,0
PROD_CAT,CCODE,0
FC_TRANS_TYPE,CCODE,0,
DEL_ADDR,CCODE,0
DEF_DOC_SEARCH,CCODE,0
WBS_ELEM,CCODE,0
CAT_ID,CCODE,0
AS_SET,CCODE,0
ACC_CAT,CCODE,0
CO_CODE,CCODE,0
US_ROLE,CCODE,0
L_CURR,CCODE,0
CT_CTR,NODE,0
RESP_PROD_CAT,NODE,0
INT_ORD,NODE,0
PO_TRANS_TYPE,NODE,0
CALENDAR_ID,NODE,0
INV_ADDR,NODE,0
SOBO,NODE,0
GL_ACC,NODE,0
PROD_CAT,NODE,0
FC_TRANS_TYPE,NODE,0,
DEL_ADDR,NODE,0
DEF_DOC_SEARCH,NODE,0
WBS_ELEM,NODE,0
CAT_ID,NODE,0
AS_SET,NODE,0
ACC_CAT,NODE,0
CO_CODE,NODE,0
US_ROLE,NODE,0
L_CURR,NODE,0
CT_CTR,RNODE,0
RESP_PROD_CAT,RNODE,0
INT_ORD,RNODE,0
PO_TRANS_TYPE,RNODE,0
CALENDAR_ID,RNODE,0
INV_ADDR,RNODE,0
SOBO,RNODE,0
GL_ACC,RNODE,0
PROD_CAT,RNODE,0
FC_TRANS_TYPE,RNODE,0,
DEL_ADDR,RNODE,0
DEF_DOC_SEARCH,RNODE,0
WBS_ELEM,RNODE,0
CAT_ID,RNODE,0
AS_SET,RNODE,0
ACC_CAT,RNODE,0
CO_CODE,RNODE,0
US_ROLE,RNODE,0
L_CURR,RNODE,0
CT_CTR,PGRP,0
RESP_PROD_CAT,PGRP,0
INT_ORD,PGRP,0
PO_TRANS_TYPE,PGRP,0
CALENDAR_ID,PGRP,0
INV_ADDR,PGRP,0
SOBO,PGRP,0
GL_ACC,PGRP,0
PROD_CAT,PGRP,0
FC_TRANS_TYPE,PGRP,0,
DEL_ADDR,PGRP,0
DEF_DOC_SEARCH,PGRP,0
WBS_ELEM,PGRP,0
CAT_ID,PGRP,0
AS_SET,PGRP,0
ACC_CAT,PGRP,0
CO_CODE,PGRP,0
US_ROLE,PGRP,0
L_CURR,PGRP,0
CT_CTR,PORG,0
RESP_PROD_CAT,PORG,0
INT_ORD,PORG,0
PO_TRANS_TYPE,PORG,0
CALENDAR_ID,PORG,0
INV_ADDR,PORG,0
SOBO,PORG,0
GL_ACC,PORG,0
PROD_CAT,PORG,0
FC_TRANS_TYPE,PORG,0,
DEL_ADDR,PORG,0
DEF_DOC_SEARCH,PORG,0
WBS_ELEM,PORG,0
CAT_ID,PORG,0
AS_SET,PORG,0
ACC_CAT,PORG,0
CO_CODE,PORG,0
US_ROLE,PORG,0
L_CURR,PORG,0
CT_CTR,USER,0
RESP_PROD_CAT,USER,0
INT_ORD,USER,0
PO_TRANS_TYPE,USER,0
CALENDAR_ID,USER,0
INV_ADDR,USER,0
SOBO,USER,0
GL_ACC,USER,0
PROD_CAT,USER,0
FC_TRANS_TYPE,USER,0,
DEL_ADDR,USER,0
DEF_DOC_SEARCH,USER,0
WBS_ELEM,USER,0
CAT_ID,USER,0
AS_SET,USER,0
ACC_CAT,USER,0
CO_CODE,USER,0
US_ROLE,USER,0
L_CURR,USER,0
