INFO 2022-09-15 12:24:50,948 autoreload 5244 14500 Watching for file changes with StatReloader
DEBUG 2022-09-15 12:24:50,950 autoreload 5244 14500 Waiting for apps ready_event.
DEBUG 2022-09-15 12:24:53,982 utils 5244 19796 (0.235) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2022-09-15 12:24:54,218 utils 5244 19796 (0.234) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2022-09-15 12:24:54,437 utils 5244 19796 (0.219) SELECT DISTINCT `MBD_LANGUAGE`.`LANGUAGE_ID` FROM `MBD_LANGUAGE` WHERE NOT `MBD_LANGUAGE`.`del_ind`; args=()
DEBUG 2022-09-15 12:24:54,594 autoreload 5244 14500 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-09-15 12:24:54,610 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Shopping_Cart\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Email_Notification\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Doc_Search\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Doc_Details\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Basic\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Login\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Registration\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Upload\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_User_Settings\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Notes_Attachments\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Org_Model\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Purchase_Order\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Reports\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Admin_Tool\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_User_Admin\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_System_Settings\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Attributes\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,626 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Configuration\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,641 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Purchaser_Cockpit\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,641 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Price_Calculator\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,641 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Role_authorization\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,641 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Catalog\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,641 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Workflow\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,641 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_SAP_Connector\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,641 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Calendar_Settings\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,641 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Generate_PDF\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,641 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Form_Builder\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,641 autoreload 5244 14500 Watching dir D:\Majjaka\majjaka_shop_22_04_2022\Majjaka-Shop\eProc_Notification\locale with glob **/*.mo.
DEBUG 2022-09-15 12:24:54,641 autoreload 5244 14500 Watching dir C:\Users\deepi\AppData\Local\Programs\Python\Python38\lib\site-packages\channels\locale with glob **/*.mo.
