Currency|Code|Date|USD/1 Unit|Units/1 USD
Andorran Peseta|ADP|2023-06-01|155.247630|0.006441
Utd. Arab Emir. Dirham|AED|2023-06-01|3.673630|0.272210
Afghanistan Afghani|AFA|2023-06-01|88.123990|0.011348
Albanian Lek|ALL|2023-06-01|103.746890|0.009639
Armenian Dram|AMD|2023-06-01|406.028580|0.002463
NL Antillian Guilder|ANG|2023-06-01|1.790000|0.558659
Angolan Kwanza|AOA|2023-06-01|587.393800|0.001702
Angolan Old Kwanza|AON|2023-06-01|587.393800|0.001702
Argentine Peso|ARS|2023-06-01|239.778710|0.004171
Austrian Schilling|ATS|2023-06-01|12.839140|0.077887
Australian Dollar|AUD|2023-06-01|1.530240|0.653492
Aruban Florin|AWG|2023-06-01|1.812500|0.551724
Azerbaijan Old Manat|AZM|2023-06-01|8500.000000|0.000118
Azerbaijan New Manat|AZN|2023-06-01|1.700000|0.588235
Bosnian Mark|BAM|2023-06-01|1.824900|0.547975
Barbados Dollar|BBD|2023-06-01|2.000000|0.500000
Bangladeshi Taka|BDT|2023-06-01|108.441610|0.009222
Belgian Franc|BEF|2023-06-01|37.639430|0.026568
Bulgarian Old Lev|BGL|2023-06-01|1.824900|0.547975
Bulgarian Lev|BGN|2023-06-01|1.824900|0.547975
Bahraini Dinar|BHD|2023-06-01|0.379400|2.635741
Burundi Franc|BIF|2023-06-01|2847.286930|0.000351
Bermudian Dollar|BMD|2023-06-01|1.000000|1.000000
Brunei Dollar|BND|2023-06-01|1.350350|0.740549
Bolivian Boliviano|BOB|2023-06-01|7.094170|0.140961
Brazilian Real|BRL|2023-06-01|5.040790|0.198382
Bahamian Dollar|BSD|2023-06-01|1.000000|1.000000
Bitcoin|BTC|2023-06-01|0.000040|25000.000000
Bhutan Ngultrum|BTN|2023-06-01|82.418510|0.012133
Botswana Pula|BWP|2023-06-01|13.928180|0.071797
Belarusian Ruble|BYR|2023-06-01|25271.543960|0.000040
Belize Dollar|BZD|2023-06-01|2.061620|0.485055
Canadian Dollar|CAD|2023-06-01|1.352200|0.739536
Congolese Franc|CDF|2023-06-01|2352.000000|0.000425
Swiss Franc|CHF|2023-06-01|0.908760|1.100401
Chilean Peso|CLP|2023-06-01|808.037540|0.001238
Chinese Yuan Renminbi|CNY|2023-06-01|7.105710|0.140732
Colombian Peso|COP|2023-06-01|4435.046040|0.000225
Costa Rican Colon|CRC|2023-06-01|552.328450|0.001811
Cuban Convertible Peso|CUC|2023-06-01|1.000000|1.000000
Cuban Peso|CUP|2023-06-01|25.000000|0.040000
Cape Verde Escudo|CVE|2023-06-01|102.883530|0.009720
Cyprus Pound|CYP|2023-06-01|0.546090|1.831200
Czech Koruna|CZK|2023-06-01|22.113720|0.045221
Djibouti Franc|DJF|2023-06-01|177.710000|0.005627
Danish Krone|DKK|2023-06-01|6.949120|0.143903
Dominican Peso|DOP|2023-06-01|55.199600|0.018116
Algerian Dinar|DZD|2023-06-01|137.095180|0.007294
Ecuador Sucre|ECS|2023-06-01|25587.000000|0.000039
Estonian Kroon|EEK|2023-06-01|14.599170|0.068497
Egyptian Pound|EGP|2023-06-01|30.933670|0.032327
Spanish Peseta|ESP|2023-06-01|155.247630|0.006441
Ethiopian Birr|ETB|2023-06-01|54.617970|0.018309
Euro|EUR|2023-06-01|0.933060|1.071742
Finnish Markka|FIM|2023-06-01|5.547710|0.180255
Fiji Dollar|FJD|2023-06-01|2.262580|0.441973
Falkland Islands Pound|FKP|2023-06-01|0.801420|1.247785
French Franc|FRF|2023-06-01|6.120450|0.163387
United Kingdom Pound|GBP|2023-06-01|0.801420|1.247785
Georgian Lari|GEL|2023-06-01|2.620000|0.381679
Ghanaian Cedi|GHC|2023-06-01|113143.422430|0.000009
Ghanaian New Cedi|GHS|2023-06-01|11.314340|0.088383
Gibraltar Pound|GIP|2023-06-01|0.801420|1.247785
Gambian Dalasi|GMD|2023-06-01|59.841180|0.016711
Guinea Franc|GNF|2023-06-01|8711.414600|0.000115
Greek Drachma|GRD|2023-06-01|317.939190|0.003145
Guatemalan Quetzal|GTQ|2023-06-01|8.006570|0.124897
Guyanan Dollar|GYD|2023-06-01|220.756400|0.004530
Hong Kong Dollar|HKD|2023-06-01|7.832050|0.127680
Honduran Lempira|HNL|2023-06-01|24.965310|0.040056
Croatian Kuna|HRK|2023-06-01|7.030120|0.142245
Haitian Gourde|HTG|2023-06-01|140.789520|0.007103
Hungarian Forint|HUF|2023-06-01|346.057400|0.002890
Indonesian Rupiah|IDR|2023-06-01|14941.934430|0.000067
Irish Punt|IEP|2023-06-01|0.734840|1.360840
Israeli New Shekel|ILS|2023-06-01|3.744790|0.267038
Indian Rupee|INR|2023-06-01|82.418510|0.012133
Iraqi Dinar|IQD|2023-06-01|1336.121940|0.000748
Iranian Rial|IRR|2023-06-01|42600.000000|0.000023
Iceland Krona|ISK|2023-06-01|140.042410|0.007141
Italian Lira|ITL|2023-06-01|1806.650360|0.000554
Jamaican Dollar|JMD|2023-06-01|156.150810|0.006404
Jordanian Dinar|JOD|2023-06-01|0.709000|1.410437
Japanese Yen|JPY|2023-06-01|139.235700|0.007182
Kenyan Shilling|KES|2023-06-01|139.172040|0.007185
Kyrgyzstanian Som|KGS|2023-06-01|87.588220|0.011417
Kampuchean Riel|Cambodian Riel|KHR|2023-06-01|4184.210760|0.000239
Comoros Franc|KMF|2023-06-01|459.033970|0.002178
North Korean Won|KPW|2023-06-01|135.000000|0.007407
Korean Won|KRW|2023-06-01|1319.157450|0.000758
Kuwaiti Dinar|KWD|2023-06-01|0.308350|3.243068
Cayman Islands Dollar|KYD|2023-06-01|0.833330|1.200005
Kazakhstan Tenge|KZT|2023-06-01|449.962890|0.002222
Lao Kip|LAK|2023-06-01|17973.667960|0.000056
Lebanese Pound|LBP|2023-06-01|15000.000000|0.000067
Sri Lanka Rupee|LKR|2023-06-01|293.911960|0.003402
Liberian Dollar|LRD|2023-06-01|169.948420|0.005884
Lesotho Loti|LSL|2023-06-01|19.711990|0.050731
Lithuanian Litas|LTL|2023-06-01|3.221660|0.310399
Luxembourg Franc|LUF|2023-06-01|37.639430|0.026568
Latvian Lats|LVL|2023-06-01|0.655760|1.524948
Libyan Dinar|LYD|2023-06-01|4.848840|0.206235
Moroccan Dirham|MAD|2023-06-01|10.344950|0.096666
Moldovan Leu|MDL|2023-06-01|17.990860|0.055584
Malagasy Ariary|MGA|2023-06-01|4436.551130|0.000225
Malagasy Franc|MGF|2023-06-01|9150.460000|0.000109
Macedonian Denar|MKD|2023-06-01|58.146440|0.017198
Myanmar Kyat|MMK|2023-06-01|2119.726900|0.000472
Mongolian Tugrik|MNT|2023-06-01|2627.000000|0.000381
Macau Pataca|MOP|2023-06-01|8.067010|0.123962
Mauritanian Ouguiya|MRO|2023-06-01|346.366860|0.002887
Maltese Lira|MTL|2023-06-01|0.400560|2.496505
Mauritius Rupee|MUR|2023-06-01|47.040510|0.021258
Maldive Rufiyaa|MVR|2023-06-01|15.360550|0.065102
Malawi Kwacha|MWK|2023-06-01|1032.338460|0.000969
Mexican Peso|MXN|2023-06-01|17.629190|0.056724
Mexican Peso (pre 1993)|MXP|2023-06-01|17.629190|0.056724
Malaysian Ringgit|MYR|2023-06-01|4.616050|0.216635
Mozambique Metical|MZM|2023-06-01|64460.000000|0.000016
Mozambique New Metical|MZN|2023-06-01|64.460000|0.015513
Namibia Dollar|NAD|2023-06-01|19.711990|0.050731
Nigerian Naira|NGN|2023-06-01|461.918300|0.002165
Nicaraguan Cordoba Oro|NIO|2023-06-01|37.002410|0.027025
Dutch Guilder|NLG|2023-06-01|2.056190|0.486336
Norwegian Kroner|NOK|2023-06-01|11.096670|0.090117
Nepalese Rupee|NPR|2023-06-01|133.672880|0.007481
New Zealand Dollar|NZD|2023-06-01|1.657300|0.603391
Omani Rial|OMR|2023-06-01|0.386240|2.589064
Panamanian Balboa|PAB|2023-06-01|1.000000|1.000000
Peruvian Nuevo Sol|PEN|2023-06-01|3.728610|0.268196
Papua New Guinea Kina|PGK|2023-06-01|3.659680|0.273248
Philippine Peso|PHP|2023-06-01|56.171280|0.017803
Pakistan Rupee|PKR|2023-06-01|285.949950|0.003497
Polish Zloty|PLN|2023-06-01|4.226250|0.236616
Portuguese Escudo|PTE|2023-06-01|187.061140|0.005346
Paraguay Guarani|PYG|2023-06-01|7388.520640|0.000135
Qatari Rial|QAR|2023-06-01|3.668370|0.272601
Romanian Lei|ROL|2023-06-01|46368.909040|0.000022
Romanian New Leu|RON|2023-06-01|4.636890|0.215662
Serbian Dinar|RSD|2023-06-01|109.494390|0.009133
Russian Rouble|RUB|2023-06-01|81.118880|0.012328
Rwandan Franc|RWF|2023-06-01|1146.205600|0.000872
Saudi Riyal|SAR|2023-06-01|3.754030|0.266380
Solomon Islands Dollar|SBD|2023-06-01|8.417510|0.118800
Seychelles Rupee|SCR|2023-06-01|14.251980|0.070166
Sudanese Dinar|SDD|2023-06-01|60300.000000|0.000017
Sudanese Pound|SDG|2023-06-01|603.000000|0.001658
Sudanese Old Pound|SDP|2023-06-01|2272.300000|0.000440
Swedish Krona|SEK|2023-06-01|10.844550|0.092212
Singapore Dollar|SGD|2023-06-01|1.350350|0.740549
St. Helena Pound|SHP|2023-06-01|0.801420|1.247785
Slovenian Tolar|SIT|2023-06-01|223.597790|0.004472
Slovak Koruna|SKK|2023-06-01|28.109280|0.035575
Sierra Leone Leone|SLL|2023-06-01|19750.000000|0.000051
Somali Shilling|SOS|2023-06-01|577.890020|0.001730
Suriname Dollar|SRD|2023-06-01|37.723600|0.026509
Suriname Guilder|SRG|2023-06-01|37723.598020|0.000027
Sao Tome/Principe Dobra|STD|2023-06-01|23140.646270|0.000043
El Salvador Colon|SVC|2023-06-01|8.750000|0.114286
Syrian Pound|SYP|2023-06-01|512.795000|0.001950
Swaziland Lilangeni|SZL|2023-06-01|19.711990|0.050731
Thai Baht|THB|2023-06-01|34.719150|0.028803
Tajikistani Somoni|TJS|2023-06-01|11.032500|0.090641
Turkmenistan Manat|TMM|2023-06-01|18250.000000|0.000055
Turkmenistan New Manat|TMT|2023-06-01|3.650000|0.273973
Tunisian Dinar|TND|2023-06-01|3.114430|0.321086
Tongan Pa'anga|TOP|2023-06-01|2.430860|0.411377
Turkish Old Lira|TRL|2023-06-01|20815864.516040|0.000000
Turkish Lira|TRY|2023-06-01|20.815860|0.048040
Trinidad/Tobago Dollar|TTD|2023-06-01|6.917570|0.144559
Taiwan Dollar|TWD|2023-06-01|30.713400|0.032559
Tanzanian Shilling|TZS|2023-06-01|2372.677910|0.000421
Ukraine Hryvnia|UAH|2023-06-01|37.188930|0.026890
Uganda Shilling|UGX|2023-06-01|3783.086270|0.000264
Uruguayan Peso|UYU|2023-06-01|39.216800|0.025499
Uzbekistan Som|UZS|2023-06-01|11432.004210|0.000087
Venezuelan Bolivar|VEB|2023-06-01|2618077190.552000|0.000000
Venezuelan Bolivar Fuerte|VEF|2023-06-01|2618077.190550|0.000000
Vietnamese Dong|VND|2023-06-01|23494.265010|0.000043
Vanuatu Vatu|VUV|2023-06-01|114.140000|0.008761
Samoan Tala|WST|2023-06-01|2.825660|0.353900
CFA Franc BEAC|XAF|2023-06-01|612.045300|0.001634
CFA Franc BCEAO|XOF|2023-06-01|612.045300|0.001634
